ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
Seasoning:HONEY MUSTARD SAUCE）,Korea,"MIMI FOOD CO.,LTD.",,Art.13(2),"violation of standard of use (use of Calcium Disodium Ethylenediaminetetraacetate, Ethyl p-Hydroxybenzoate in other than target food)",narita airport,MIMI SHOJI INC.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-10-29
Fresh Carrot,China,,"LIANYUNGANG MINGFENG FOOD CO.,LTD",Art.13(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (Dimethomorph 0.02 ppm detection)",kobe,"FUJITAKA RENTAI TRADING CO.,LTD.",,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",monitoring inspection,2020-10-29
MURUKKU,India,HALDIRAM FOODS INTERNATIONAL PVT.LTD.,,Art.12,undesignated additive (TBHQ 4 μg/g detection),kobe,SARTAJ CO.LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
NAVRATAN MIXTURE,India,BIKANERVALA FOODS PVT. LTD.,,Art.12,undesignated additive (TBHQ 2 μg/g detection),kobe,"BHASIN HOLDINGS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
ALL IN ONE,India,BIKANERVALA FOODS PVT. LTD.,,Art.12,undesignated additive (TBHQ 1 μg/g detection),kobe,"BHASIN HOLDINGS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
Other Confectionery:SOAN PAPDI,India,BIKANERVALA FOODS PVT. LTD.,,Art.12,undesignated additive (TBHQ 5 μg/g detection),kobe,"BHASIN HOLDINGS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
Confectionery:RASOGOLLA,India,BIKANERVALA FOODS PVT. LTD.,,Art.13(2),violation of standard of use（sulfer dioxide　0.033 g/kg detection）,kobe,"BHASIN HOLDINGS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
Powdered drink beverages:ACTIVE DS D LITE,Korea,"GENERALBIO CO.,LTD.",,Art.13(2),violation of compositional standard (coliform bacteria positive ),tokyo,"GCOOP JAPAN CO., LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
Biscuits:EARL GREY,Belgium,S.A.BISCUITERIE DANDOY,,Art.13(2),violation of standard of use (use of sorbic acid in other than target food(used 4 g/kg for egg white of raw material)),narita airport,C'SELECT CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-10-29
Frozen Fish paste product:FROZEN BASA FISH (SUTCHI CATFISH) PASTE BALL,Vietnam,ANGIANG FISHERIES IMPORT & EXPORT JOINT STOCK COMPANY,,Art.13(2),violation of compositional standard (coliform bacteria positive ),kobe 2nd section,I.S.C KOGYO INC.,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
Health food:SHIKASYA,China,"BEIJING GUANGDA PHARMACEUTICAL CO.,LTD",,Art.12,undesignated additive (cyclamic acid 10 μg/g detection),tokyo,JAPAN-CHINA MEDICAL INSTITUTE INC.,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
Implements(porcelain): PLATE,China,"HOME BASE INTERNATIONAL CO.,LTD",,Art.18(2),violation of compositional standard (lead 15 μg/cm² detection ),tokyo,"SHINTAI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
ROASTED PEANUTS IN SHELL,China,"YANTAI FENGLIN FOODSTUFF CO.,LTD.",,Art.6(ⅱ),aflatoxin (mycotoxin)　50 μg/kg（B1: 7.9  G1: 34.1 G2: 7.8 ) detected,tokyo,"C G C JAPAN CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-10-29
Seasoning agent:GANTONESE FLAVOR HOT POT SEASONING-POWDER,China,"ZHENGZHOU SHUHAI INDUSTRIAL CO., LTD.",,Art.13(2),violation of standard of use（polysorbate80　0.19 g/kg detection）,yokohama,"YIHAI JAPAN CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-10-29
Fresh CHIVES,Korea,,JINYANG,Art.13(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (chlorfenapyr 0.02 ppm、procymidone 0.19 ppm detection)",shimonoseki,KIM KYOUM HEE,,the whole quantity has been consumed,monitoring inspection,2020-10-29
Frozen Boiled Octopus,Vietnam,"TAIPHAT FOODS CO.,LTD",,Art.13(2),violation of compositional standard（live bacteria count  1.4×10⁶ /g）,tokyo,"SEATEC CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-11-06
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN EXTENDED BLACK TIGER,Vietnam,FIMEX VN,,Art.13(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),osaka,"KYOKUYO CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-11-06
pistachio nut,Italy,,GEMMA VERDE DI EMMA SCARAVILLI,Art.6(ⅱ),aflatoxin (mycotoxin)　96 μg/kg（B1: 80.2  B2: 15.9 ) detected,narita airport,"EET CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-11-06
Job's tears,Thailand,,"LIMSAKDAKUL AGRICULTURAL INDUSTRIAL(THAILAND)CO.,LTD.",Art.6(ⅱ),aflatoxin (mycotoxin)　14 μg/kg（B1: 12.4  B2: 1.1 ) detected,nagoya,"KOWA & CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-11-06
Seasoning agent:SPICY HOT SAUCE,Taiwan ,"HWA NAN FOOD INDUSTRIAL CO.,LTD.",,Art.12,undesignated additive (cyclamic acid 79 μg/g detection),yokohama,"FUJI FOOD SERVICE CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-11-06
Seasoning agent:SPICY FRIED BEAN PASTE,Taiwan ,"HWA NAN FOOD INDUSTRIAL CO.,LTD.",,Art.12,undesignated additive (cyclamic acid 9 μg/g detection),yokohama,"FUJI FOOD SERVICE CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-11-06
Wheat,Canada,,VIERRA INC.,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",fukuoka,CZL LTD.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-11-06
rapeseed,Canada,,"AGREX,INC.",Art.6(ⅰ),generation of mold and nasty smell,yokohama,MITSUBISHI CORPORATION (GENERAL DECLARATION),,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-11-06
"Container packing filling pressurization heating sterilization food:BAMBOO SHOOT RANDOM CUT  IN WATER,IN POUCH",Thailand,"FANG INTER FOODS,CO.,LTD",,Art.13(2),violation of compositional standard (live bacteria positive),shimizu,"TOWA KAN BUTU CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-11-06
"Container packing filling pressurization heating sterilization food:BAMBOO SHOOT SLICE IN WATER,IN POUCH",Thailand,"FANG INTER FOODS,CO.,LTD",,Art.13(2),violation of compositional standard (live bacteria positive),shimizu,"TOWA KAN BUTU CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-11-06
Kitchen ware (nylon): spoon,Taiwan ,"LITER ELECTRIC CO.,LTD.",,Art.18(2),"non-conformity with standard for materials (potassium permanganate consumed 16 μg/ml, evaporation residual substance  (4% acetic acid)  37 μg/ml detection)",tokyo,"KATOU TRADING CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-02
Carrot,China,,"LIANYUNGANG XIANGTIAN IMPORT & EXPORT CO.,LTD",Art.13(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (dimethomorph  0.04 ppm detection)",kobe,"DAIKO BUSSAN CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-02
Frozen food served without heating:VANNAMEI SUSHI,Vietnam,MINH PHU - HAU GIANG SEAFOOD CORP.,,Art.13(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),tokyo,"EBISUMO LOGISTICS CO., LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-02
PESTO DI PISTACCHIO,Italy,SOCIETA AGRICOLA ALICOS S.A.S.DI PALERMO GAETANO,,Art.6(ⅱ),aflatoxin (mycotoxin)　14 μg/kg　（B1:9.6   B2:1.4 G1:3.0  ) detected,tokyo,"EATALY ASIA PACIFIC, LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-07
CAMP FRUIT JELLY-UVA(CAMP GELATINA-UVA,Brazil,BEBA BRASIL INDUSTRIA E COMERCIO LTDA.,,Art.12,undesignated additive (cyclamic acid 11 μg/g detection),narita airport,BOMPEX JAPAN LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-07
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN GREEN BEANS,China,"ANHUI DONGTAI AGRICULTURE SCIENCE DEVELOPMENT CO.,LTD",,Art.13(2),violation of compositional standard (E.coli positive),osaka,FAITH CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-07
Frozen food served without heating:Trout saikyo,Vietnam,"MINH DANG CO.,LTD.",,Art.13(2)," violation of compositional standard（live bacteria count  2.2×10⁵ /g, coliform bacteria positive）",fukuoka airport,"MARINET CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-07
Peanuts,South Africa,,GWK LTD.,Art.6(ⅱ),aflatoxin (mycotoxin)　14 μg/kg　（B1:12.3   B2:1.8  ) detected,nagoya,CARGILL JAPAN LIMITED,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-07
Drink beverages:COZY-MATCHA MILK TEA,Vietnam,ECOLOGICAL PRODUCTS JOINT STOCK COMPANY,,Art.13(2),violation of standard of use (use of sodium stearoyl lactylate and sodium copper chlorophyllin in other than target food),yokohama,BETOHASU LLC,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-07
Drink beverages:COZY-PEACH FLAVOR MILK TEA,Vietnam,ECOLOGICAL PRODUCTS JOINT STOCK COMPANY,,Art.13(2),violation of standard of use (use of sodium stearoyl lactylate in other than target food),yokohama,BETOHASU LLC,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-07
Peanuts,Vietnam,,HUYNH VY TV COMPANY LIMITED,Art.6(ⅱ),aflatoxin (mycotoxin)　145 μg/kg　（B1:125.3   B2:20.1  ) detected,tokyo,"HUYNH VY CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-07
ROASTED PEANUTS WITH SKIN,China,"RUSHAN ZENHUA OCEAN FOODS OF SCIENCE TECHNOLOGY CO.,LTD.",,Art.6(ⅱ),aflatoxin (mycotoxin)　25 μg/kg　（B1:22.1   B2:3.0  ) detected,fukuoka,MITSUYA GROUP INC.,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-07
ROASTED PEANUTS(COCOA),China,"RUSHAN JINGUO FOOD CO.,LTD.",,Art.6(ⅱ),aflatoxin (mycotoxin)　23 μg/kg　（B1:9.3   B2:1.7 G1:10.1 G2:1.7  ) detected,shimizu,ARUM INC.,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-07
Peanuts,China,,"RONGCHENG ZHONGXING PEANUT PRODUCTS CO.,LTD.",Art.6(ⅱ),aflatoxin (mycotoxin)　36 μg/kg　（B1:32.5 B2:3.9 ) detected,yokohama,"KAITSUKA CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-07
Fresh banana,Philippines,,MINDANAO AGRI BANANA VENTURES CORPORATION,Art.13(2),violation of compositional standard (fipronil 0.013 ppm detection),tokyo,"UNION CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-07
boil plain:BOILED VEGETABLES,China,"HUZHOU ARTISAN FOODS CO., LTD.",,Art.13(2),violation of standard of use（sulfer dioxide　0.037 g/kg detection）,tokyo,"C G C JAPAN CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-07
Wheat,U.S.A.,,CHS INC,Art.6(ⅰ),"generation of mold, deterioration, decay and nasty smell",chiba,CZL LTD.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-07
Wheat,U.S.A.,,UNITED GRAIN CORPORATION,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",nagoya,"MITSUI & CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-07
GIROLLES(CANTHARELLUS CIBARIUS),Poland,,SARL TRAPON CHAMPIGNONS,Art.13(2),violation of compositional standard (radioactive material 130 Bq/kg detection),tokyo airport,"NORLAKE INTERNATIONAL CO.,LTD.",,the whole quantity has been consumed or discarded,monitoring inspection,2020-12-08
Frozen food served without heating:BLACK DONUT WITH CHOCOLATE STREW,Lithuania,MANTINGA UAB,,Art.13(2),violation of standard of use (use of L-Cysteine Monohydrochloride in other than target food),tokyo 2nd section,DELSOLE CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-08
Frozen food served without heating:DONUT WITH CACAO GLAZE,Lithuania,MANTINGA UAB,,Art.13(2),violation of standard of use (use of L-Cysteine Monohydrochloride in other than target food),tokyo 2nd section,DELSOLE CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-08
Frozen food served without heating:DONUT WITH WHITE GLAZE,Lithuania,MANTINGA UAB,,Art.13(2),violation of standard of use (use of L-cysteine monohydrochloride in other than target food),tokyo 2nd section,DELSOLE CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-08
"JAWHARA CANNED FAVA BEANS,FOUL MEDAMMAS",Turkey ,DENIMEKS FOOD INDUSTRY LTD CO.,,Art.13(2), violation of standard of use（calcium disodium ethylenediaminetetraacetate 　0.644 g/kg detection）,tokyo,BRUSK KOUGYOU CO LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-08
Powdered drink beverages:SUPERFOOD MIX-GREEN,Germany ,RAAB VITALFOOD GMBH,,Art.13(2),"violation of compositional standard（live bacteria count  9.9×10³ /g, coliform bacteria positive）",hiroshima,"BRILLIANT EARTH CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-08
Powdered drink beverages:ARABIKA MIXED HERBAL BLACK COFFEE POWDER,Indonesia,JAMU SEHAT BUGAR,,Art.13(2),"violation of compositional standard（live bacteria count  5.7×10⁵ /g, coliform bacteria positive）",osaka,"KOHJUKUDOH CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-08
Frozen fresh fish and shellfish for raw consumption:FROZEN ARROWTOOTH FLOUNDER FRILLS,China,"DALIAN HUAYANG SEAFOODS CO.,LTD.",,Art.13(2),violation of compositional standard (coliform bacteria positive ),tokyo,"SEA MATE CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-08
Wheat,U.S.A.,,UNITED GRAIN CORP.,Art.6(ⅰ),"generation of mold, deterioration, decay and nasty smell",chiba,"MITSUI & CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-08
Wheat,U.S.A.,,UNITED GRAIN CORP.,Art.6(ⅰ),"generation of mold, deterioration, decay and nasty smell",chiba,"MITSUI & CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-08
Implement (rubber)：Nitrile Examination Gloves,Malaysia ,TOP GLOVE SDN. BHD.,,Art.18(2),non-conformity with  standard for materials （evaporation residual substance （water  98 μg/ml）),tokyo,"SUNOCS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-11
Frozen food served without heating:FROZEN BROCCOLI,China,"DA-YUE(CIXI)FOODSTUFF INDUSTRY CO.,LTD.",,Art.13(2),violation of compositional standard (coliform bacteria positive ),osaka,"NIPPON SUISAN KAISHA,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-11
Frozen food served without heating:FROZEN NANOHANA,China,"ZHEJIANG JIAYILE FOODS CO.,LTD.",,Art.13(2),violation of compositional standard（live bacteria count  4.5×10⁵ /g）,kobe 2nd section,"SRS HOLDINGS CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-11
FROZEN RAW SNOW CRAB SHELL ON,China,"YANTAI FUBAO FOODSTUFFS CO.,LTD.",,Art.13(2),violation of standard of use（sulfer dioxide　0.11 g/kg detection）,osaka,"KANEDAI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-11
ORGANIC PAPRIKA POWDER,Spain,"FELIX REVERTE,S.A.",,Art.13(2),violation of standard of manufacture(radiation exposure),narita airport,"VOX TRADING CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-18
Non-heating edible meat products:MORA ROMAGNOLA SALAMI,Italy,(CE IT 9-861L)AZ. AGRICOLA CA'LUMACO DI FERRI EMANUELE,,Art.13(2),violation of compositional standard (Listeria monocytogenes 140 /g),narita airport,VINAI OTA,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-18
Heated meat products (heat-pasteurized before packed in container-packages):FROZEN PORK BACKRIBS FULLY COOKED,U.S.A.,(226) INDEPENDENT MEAT CO.,,Art.13(2),violation of compositional standard (NO²- 0.078 g/kg detection),kawasaki,ORITZ JAPAN CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-18
Non-heating edible meat products:ORGANIC SALAME WITH FENNEL SEEDS,Italy,(CE IT 955 L)GOLFERA IN LAVEZZOLA SPA,,Art.13(2),violation of standard of manufacture( no use of sodium nitrite and non-conformity for dry temperature）,narita airport,"YAKURYO KAIHATSU CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-18
Non-heating edible meat products:ORGANIC SPICY VENTRICINA SALAME,Italy,(CE IT 955 L)GOLFERA IN LAVEZZOLA SPA,,Art.13(2),violation of standard of manufacture( no use of sodium nitrite and non-conformity for dry temperature）,narita airport,"YAKURYO KAIHATSU CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-18
Non-heating edible meat products:ORGANIC CACCIATORE DOP SALAMI COSIBIO,Italy,(CE IT 955 L)GOLFERA IN LAVEZZOLA SPA,,Art.13(2),violation of standard of manufacture( no use of sodium nitrite and non-conformity for dry temperature and days）,narita airport,"YAKURYO KAIHATSU CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-18
Wheat,U.S.A.,,CARGILL INC.,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",fukuoka,CARGILL JAPAN LIMITED,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-18
Wheat,U.S.A.,,CARGILL INC.,Art.6(ⅰ),"generation of mold, deterioration, solidification and nasty smell",fukuoka,CARGILL JAPAN LIMITED,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2020-12-18
Frozen food served after heating(other than those heated immediately before freezing）:BREADED HOKKE FRY,Vietnam,"BLUE BAY SEAFOOD CO.,LTD.",,Art.13(2),violation of compositional standard (E.coli positive),otaru,"THYMS & CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-18
Seasoning:HOT POT BUTTER,China,SICHUAN TAN GONG CATERING MANAGEMENT CO. LTD,,Art.13(2),violation of standard of use (use of sorbic acid in other than target food(used for doubanjiang of raw material)),narita airport,LIU PENG,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-18
Seasoning:BUTTER BASE,China,SICHUAN TAN GONG CATERING MANAGEMENT CO. LTD,,Art.13(2),violation of standard of use (use of sorbic acid in other than target food(used for doubanjiang of raw material)),narita airport,LIU PENG,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-18
Seasoning:PEA SAUCE,China,SICHUAN TAN GONG CATERING MANAGEMENT CO. LTD,,Art.13(2),violation of standard of use (use of sorbic acid in other than target food(used for doubanjiang of raw material)),narita airport,LIU PENG,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-18
Frozen Fish paste product:FROZEN YAWARAKA EBI,Vietnam,"D & N FOODS PROCESSING(DANANG)CO.,LTD.(DANIFOODS)",,Art.13(2),violation of compositional standard (coliform bacteria positive ),osaka,"DAIICHI CHINMI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-22
Butter：BEURRE 0.250GR DOUX,France,FROMAGERIE REO,,Art.13(2),violation of compositional standard (coliform bacteria positive ),narita airport,ORDER-CHEESE CO LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Frozen food served after heating(other than those heated immediately before freezing）:RAW PD VANNAMEI,Vietnam,MINH HAI JOINT STOCK SEAFOODS PROCESSING COMPANY,,Art.13(2),violation of compositional standard (enrofloxacin 0.02 ppm detection),tokyo,"HANWA CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-22
SEMEN ARMENIACAE DULCIS,China,SHENZHEN WELLSOON HERBALS LTD.,,Art.6(ⅱ),cyanide 270 mg/kg detection,tokyo,MEISHI INC.,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Non-heating edible meat products:SALAME PERUGINO SOTTOVUOTO,Italy,CE IT 766M SALUMIFICIO VALTIBERINO S.R.L.,,Art.13(2),violation of compositional standard (Salmonella spp. positive),narita airport,"TIBERWINE CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-22
FRESH CHILLI PEPPER,Korea,,"NH TRADING CO.,LTD.",Art.13(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (tebufenpyrad 0.04 ppm detection)",shimonoseki,"N.A.C.F. INTERNATIONAL CO.,LTD.",,the whole quantity has been consumed,monitoring inspection,2020-12-22
Implement (Copper alloy)：PISTON LEVA GROUP,Italy,LA SAN MARCO S.P.A.,,Art.18(2),violation of standard by materials(lead 0.17% detection),tokyo,SEGAFREDO.ZANETTI.JAPAN INC.,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
FROZEN CHUM SALMON,Russian Federation,,"NISSUI(THAILAND)CO.,LTD.",Art.13(2),violation of compositional standard (malachite green 0.002 ppm detection),otaru,"NIPPON SUISAN KAISHA,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-22
Frozen food served without heating:PAPAYA,Peru,THE GREEN FARMER S.A.C.,,Art.13(2),violation of compositional standard (coliform bacteria positive ),nagoya,G&C CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Frozen food served without heating:SURTIDO DE FRUTAS,Peru,THE GREEN FARMER S.A.C.,,Art.13(2),violation of compositional standard (coliform bacteria positive ),nagoya,G&C CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Frozen food served without heating:CHIRIMOYA,Peru,THE GREEN FARMER S.A.C.,,Art.13(2),violation of compositional standard（live bacteria count  2.6×10⁵ /g）,nagoya,G&C CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN BLANCHED GARLIC SPROUT,China,"JUXIAN YUANSHENG FOOD CO.,LTD.",,Art.13(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (procymidone 0.03 ppm detection)",kobe 2nd section,"HYOGO TRADING CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-22
Implement (Polystyrene)：Caffe Bonini-Accessories-Lid For Bonini Paper Cup Double Wall,China,"JIANGSU CITIC GUOAN NEW MATERIALS CO.,LTD.",,Art.18(2),non-conformity with  standard for materials （evaporation residual substance  (4% acetic acid)  40 μg/ml）,tokyo,"COSMO FOODS CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Dried noodle: DRIED RICE NOODLES,China,"JIANGMEN GREAT HARVEST IMPORT & EXPORT CO.,LTD.",,Art.13(2),violation of compositional standard (unauthorised genetically modified rice (63Bt) positive ),tokyo,"KATOU TRADING CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
MEXICAN CHILE DE PASILLA,Mexico ,"EL RUISENOR DE MEXICO,S.A.DE C.V.",,Art.13(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (propiconazole 0.02 ppm detection)",narita airport,CASA NATURAL CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-22
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN RAPE,China,"LAIYANG HONGPENG FOODSTUFF CO.,LTD.",,Art.13(2),violation of compositional standard（live bacteria count  5.7×10⁶ /g）,fukuoka,"WAGENSHOJI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Frozen food served without heating:ALPHONSO MANGO RASMALAI,India,VADILAL INDUSTRIES LTD.,,Art.13(2),"violation of compositional standard（live bacteria count  2.0×10⁷  /g, coliform bacteria positive）",osaka,SARTAJ CO.LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Frozen food served without heating:KAJU KATLI,India,VADILAL INDUSTRIES LTD.,,Art.13(2),violation of compositional standard (coliform bacteria positive ),osaka,SARTAJ CO.LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
Frozen food served without heating:PISTA BURFEE,India,VADILAL INDUSTRIES LTD.,,Art.13(2),violation of compositional standard (coliform bacteria positive ),osaka,SARTAJ CO.LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2020-12-22
GLUTINOUS MILLET,Vietnam,,"THANH PHONG COMMERCIAL CO.,LTD.",Art.6(ⅱ),aflatoxin (mycotoxin)　12 μg/kg　（B1:11.0   B2:1.0 ) detected,fukuoka,KANEMATSU CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2020-12-22
Peanuts,U.S.A.,,"JUNAN SIHAI PEANUT FOODSTUFF CO.,LTD.",Art.6(ⅱ),aflatoxin (mycotoxin)　40 μg/kg　（B1:33.5   B2:6.6 ) detected,yokohama,"KAIZUKA CO.,LTD",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-25
Cacao beans,Venezuela ,,CACAO MARQUEZ,Art.13(3)," detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 13 of the Food Sanitation Act (２，４－D 0.02 ppm detection)",narita airport,JORGE GONZALEZ ALFREDO CRISTOBAL,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2020-12-25
